경로	키	갱신 시각	카테고리	원문	번역문	수정문	(일) 코멘트	(한) 코멘트
JP_AbEvents.json:201	1030201-successDesc[0]	2025-06-12	오기	[{0}] 수감자가 힘껏 문을 밀었다.\n\n'크윽…'\n\n문이 조금씩 흔들리지만 열리기에는 힘이 부족한 모양이다.\n\n'됐어, 이제 그만…'\n\n수감자에게 그만두라고 말하려고 했지만, [{0}] 수감자는 주변 소리에는 관심도 없다는 듯, 어마어마한 집중력으로 문을 밀어냈다.\n\n시간이 흐르고…\n\n'됐다!'\n\n이윽고, 문이 열렸다.\n문 뒤에는, 숨겨진 길이 있었다.	囚人[{0}]が力一杯扉を押した。\n\n「くぅっ…。」\n\n扉が少しずつ揺れるが、扉を開けるには力が足りないようだ。\n\n「いいよ、これでお…。」\n\n囚人にやめろと言おうとしたが、囚人[{0}]は周囲の音には興味がないという風に、莫大な集中力で扉を押しのけた。\n\n時は流れ…。\n\n「よし！」\n\n遂に、扉が開いた。\n扉の後ろには、隠された道があった。	囚人[{0}]が力一杯扉を押した。\n\n「くぅっ…。」\n\n扉が少しずつ揺れるが、扉を開けるには力が足りないようだ。\n\n「いいよ、これでもう…。」\n\n囚人にやめろと言おうとしたが、囚人[{0}]は周囲の音には興味がないという風に、莫大な集中力で扉を押しのけた。\n\n時は流れ…。\n\n「よし！」\n\n遂に、扉が開いた。\n扉の後ろには、隠された道があった。	誤記: "「いいよ、これで「お」…。」" 訂正後: "「いいよ、これで「もう」…。」"	오기: "「いいよ、これで「お」…。」" 정확: "「いいよ、これで「もう」…。」"
JP_AbEvents.json:214	1030202-successDesc[0]	2025-06-12	오기	[{0}] 수감자가 문의 주변을 조사했다.\n\n'…….'\n\n문 옆의 무언가를 슥슥 쓰다듬는 것 같더니,\n[{0}] 수감자는 잠시 힘을 주는 소리를 냈다.\n\n'뭐야?!'\n\n그러자 문이 열렸다.\n\n문 옆에 혼자서 튀어나온 벽돌이 있었던 모양이다.\n그걸 원래 방향대로 돌려놓으니 문이 열렸다며,\n[{0}] 수감자는 아무렇지 않다는 듯 말하고는 문 안으로 지나갔다.\n\n문 뒤에는, 숨겨진 길이 있었다.	囚人[{0}]が扉の周辺を調べた。\n\n「……。」\n\nドアのそばの何かを撫でていると思いきや、\n囚人[{0}]は、少しの間力みながら声を出した。\n\n「えっ！？」\n\nすると扉が開いた。\n\n扉の横に独りでに飛び出したレンガがあったようだ。\nそれを元の方向に戻すとドアが開いたと、\n囚人は[{0}]なんともなさそう言いながら、ドアの中へと進んでいった。\n\n扉の後ろには、隠された道があった。	囚人[{0}]が扉の周辺を調べた。\n\n「……。」\n\nドアのそばの何かを撫でていると思いきや、\n囚人[{0}]は、少しの間力みながら声を出した。\n\n「えっ！？」\n\nすると扉が開いた。\n\n扉の横に独りでに飛び出したレンガがあったようだ。\nそれを元の方向に戻すとドアが開いたと、\n囚人[{0}]はなんともなさそうに言いながら、ドアの中へと進んでいった。\n\n扉の後ろには、隠された道があった。	誤記: "囚人は[{0}]なんともなさそう「」言いながら"  訂正後: "囚人[{0}]はなんともなさそう「に」言いながら"	오기: "囚人は[{0}]なんともなさそう「」言いながら"  정확: "囚人[{0}]はなんともなさそう「に」言いながら"
JP_AbEvents.json:267	1030601-successDesc[0]	2025-06-12	오기	[{0}] 수감자는 갈기 속에서 비틀려진 N사의 인장을 발견했다.\n\n시체를 파헤칠 정도로 대단한 보상은 아닌 것 같지만, 그래도 어딘가에 쓰일 수는 있을 것 같다.\n\n인장을 챙기고, 헛구역질을 하는 몇 수감자들을 다독이며 방을 떠났다.	囚人[{0}]は、たてがみの中から歪んだN社の印章を発見した。\n\n死体をまさぐるのに見合った報酬ではなさそうだが、それでもどこかに使えそうだ。\n\n印章をしまい込み、吐き気を催している何人かの囚人たちを慰めて部屋を出た.	囚人[{0}]は、たてがみの中から歪んだN社の印章を発見した。\n\n死体をまさぐるのに見合った報酬ではなさそうだが、それでもどこかに使えそうだ。\n\n印章をしまい込み、吐き気を催している何人かの囚人たちを慰めて部屋を出た。	誤記: "印章をしまい込み、吐き気を催している何人かの囚人たちを慰めて部屋を出た「.」" 訂正後: "吐き気を催している何人かの囚人たちを慰めて部屋を出た「。」"	오기: "印章をしまい込み、吐き気を催している何人かの囚人たちを慰めて部屋を出た「.」" 정확: "吐き気を催している何人かの囚人たちを慰めて部屋を出た「。」"
JP_AbEvents.json:412	802901-successDesc[0]	2025-06-12	오기	크로머는 예상치 못한 공격에 당했다.\n증오와 갈망을 내뿜던 눈은 한순간 초점을 잃었다.\n\n차분한 척하던 비수는 아무에게도 닿지 못했다.\n그 비수는 차분히 떨어져 침묵했다.	クローマーは予期だにしない攻撃にやられた。\n憎悪と渇望を撒き散らしていた目は一瞬焦点を失った。\n\n落ち着いたフリの懐刀は誰にも届かなかった。\nその懐刀は静かに落ち、沈黙した。	クローマーは予想だにしない攻撃にやられた。\n憎悪と渇望を撒き散らしていた目は一瞬焦点を失った。\n\n落ち着いたフリの懐刀は誰にも届かなかった。\nその懐刀は静かに落ち、沈黙した。	誤記: "クローマーは「予期だにしない」攻撃にやられた。" 訂正後: "クローマーは「予想だにしない」攻撃にやられた。"	오기: "クローマーは「予期だにしない」攻撃にやられた。" 정확: "クローマーは「予想だにしない」攻撃にやられた。"
JP_AbEvents.json:467	851001-failureDesc[0]	2025-06-12	오기	[{0}] 수감자는 두꺼비에게 다가갔어.\n\n”꾸악!”\n\n안타깝게도, [{0}] 수감자가 너무 조심스러웠던 탓이었을까.\n다가갔을 때는 이미, 한껏 부푼 입이 열리며 끝없이 우울한 소리가 울려 퍼지고 있었어.\n\n”꾸엥… 꾸엥… 꾸엥…”\n\n[{0}] 수감자는 울음 속에 갇혀 자신의 정신을 잃어버렸어.\n그저, 두꺼비와 똑같은 울음만 반복할 뿐이야.	囚人[{0}]はヒキガエルに近付いていった。\n\n「ぐぁっ！」\n\n残念ながら、囚人[{0}]が慎重すぎたせいだろうか。\n近付いたときには既に、いっぱいいっぱいに膨らんだ口が開いて憂鬱な声が延々と鳴り響いていた。\n\n「ぐぇん…ぐぇん…ぐぇん…。」\n\n囚人は[{0}]泣き声に囚われて我を失ってしまった。\nただ、ヒキガエルと同じ泣き声を繰り返すだけだ。	囚人[{0}]はヒキガエルに近付いていった。\n\n「ぐぁっ！」\n\n残念ながら、囚人[{0}]が慎重すぎたせいだろうか。\n近付いたときには既に、いっぱいいっぱいに膨らんだ口が開いて憂鬱な声が延々と鳴り響いていた。\n\n「ぐぇん…ぐぇん…ぐぇん…。」\n\n囚人[{0}]は泣き声に囚われて我を失ってしまった。\nただ、ヒキガエルと同じ泣き声を繰り返すだけだ。	誤記: "囚人は[{0}]泣き声に囚われて我を失ってしまった。"  訂正後: "囚人[{0}]は泣き声に囚われて我を失ってしまった。"	오기: "囚人は[{0}]泣き声に囚われて我を失ってしまった。"  정확: "囚人[{0}]は泣き声に囚われて我を失ってしまった。"
JP_AbEvents_Mirror3.json:62	90106101-successDesc[0]	2025-06-12	오기	뼛조각들 사이에 내게 말을 걸고 있는 것만 같은 뼈를 찾아냈다. 과연 이 뼈가 맞는지는 알 수 없다. 어쩌면 제멋대로 뼈들 사이에 의미를 부여해 버린 것일 수도.	骨片の間にから、私に話しかけているような気がする骨を見つけた。果たしてこの骨で合っているのかは分からない。もしかすると骨の中から、勝手に意味を与えてしまったのかもしれない。	骨片の間から、私に話しかけているような気がする骨を見つけた。果たしてこの骨で合っているのかは分からない。もしかすると骨の中から、勝手に意味を与えてしまったのかもしれない。	誤記: "骨片の間「に」から、私に話しかけているような気がする骨を見つけた。" 訂正後: "骨片の間「」から、"	오기: "骨片の間「に」から、私に話しかけているような気がする骨を見つけた。" 정확: "骨片の間「」から、"
JP_AbEvents_Mirror3.json:221	90107403-failureDesc[0]	2025-06-12	오기	'그럴 수가…'\n\n{0} 수감자는 곧장 그것에게 다가가 초상화의 먼지를 털었다.\n\n'주인님의 초상화에 함부로 손 대지 마세요!'\n\n너무 갑작스러운 접근이었을까.\n무례한 손님이라 소리친 그것에 의해 저택에서 쫓겨나고 말았다.	「そんな…。」\n\n囚人{0}はすぐにそれに近寄り、肖像画の埃を払った。\n\n「ご主人様の肖像画に、無闇に手を触れないでください！」\n\n突然の接近だった性だろうか。\n無礼な客だと叫んだそれによって邸宅から追い出されてしまった。	「そんな…。」\n\n囚人{0}はすぐにそれに近寄り、肖像画の埃を払った。\n\n「ご主人様の肖像画に、無闇に手を触れないでください！」\n\n突然の接近だったせいだろうか。\n無礼な客だと叫んだそれによって邸宅から追い出されてしまった。	誤記: "突然の接近だった「性」だろうか。"  訂正後: "突然の接近だったせいだろうか。"	오기: "突然の接近だった「性」だろうか。"  정확: "突然の接近だったせいだろうか。"
JP_AbEvents_Mirror4.json:64	97101401-failureDesc[0]	2025-06-12	표현 개선	{0} 수감자가 검을 건네 받았다.\n\n"...!"\n\n잠시 숨을 고른 뒤, {0} 수감자는 순식간에 검을 뽑아...\n\n내지 못하고 그대로 검을 바닥에 떨구어 버렸다.\n\n...검집을 반대로 잡아 칼날 쪽에 손바닥을 대고 있었던 것 같다.\n\n{0} 수감자가 지혈을 하는 동안, 그것은 어디론가 사라지고 없어져 버렸다.	囚人{0}が剣を受け取った。\n\n「…！」\n\nしばらく息を整えた後、囚人{0}は瞬時に剣を抜…。\n\n…けず、そのまま剣を床に落としてしまった。\n\n…鞘を逆向きに掴んだせいで、刃の方に手のひらを当てていたようだ。\n\n囚人{0}が止血をしている最中に、それはどこかへと消えて消えてしまった。	囚人{0}が剣を受け取った。\n\n「…！」\n\nしばらく息を整えた後、囚人{0}は瞬時に剣を抜…。\n\n…けず、そのまま剣を床に落としてしまった。\n\n…鞘を逆向きに掴んだせいで、刃の方に手のひらを当てていたようだ。\n\n囚人{0}が止血をしている最中に、それはどこかへと消え失せてしまった。	表現改善: "「消えて消えてしまった」では日本語として冗長な繰り返しとなり、誤植として受け取られてしまう恐れがあるため「消え失せてしまった」という自然な文に調整"	표현 개선: "'消えて消えてしまった'는 일본어에서 불필요하게 반복된 표현으로, 오타로 인식될 수 있기 때문에 보다 자연스럽게 강조하는 '消え失せてしまった'로 수정함."
JP_AbEvents_Mirror4.json:77	97101402-failureDesc[0]	2025-06-12	표현 개선	{0} 수감자가 검을 건네 받았다.\n\n"......."\n\n{0} 수감자는 조심스레, 미끄러지듯이 검을 뽑아...\n\n내지 못하고 그대로 검을 바닥에 떨구어 버렸다.\n\n...검집을 반대로 잡아 칼날 쪽에 손바닥을 대고 있었던 것 같다.\n\n{0} 수감자가 지혈을 하는 동안, 그것은 어디론가 사라지고 없어져 버렸다.	囚人{0}が剣を受け取った。\n\n「……。」\n\n囚人{0}は慎重に、滑るように剣を抜…。\n\n…けず、そのまま剣を床に落としてしまった。\n\n…鞘を逆向きに掴んだせいで、刃の方に手のひらを当てていたようだ。\n\n囚人{0}が止血をしている最中に、それはどこかへと消えて消えてしまった。	囚人{0}が剣を受け取った。\n\n「……。」\n\n囚人{0}は慎重に、滑るように剣を抜…。\n\n…けず、そのまま剣を床に落としてしまった。\n\n…鞘を逆向きに掴んだせいで、刃の方に手のひらを当てていたようだ。\n\n囚人{0}が止血をしている最中に、それはどこかへと消え失せてしまった。	表現改善: "「消えて消えてしまった」では日本語として冗長な繰り返しとなり、誤植として受け取られてしまう恐れがあるため「消え失せてしまった」という自然な文に調整"	표현 개선: "'消えて消えてしまった'는 일본어에서 불필요하게 반복된 표현으로, 오타로 인식될 수 있기 때문에 보다 자연스럽게 강조하는 '消え失せてしまった'로 수정함."
JP_AbEvents_Mirror.json:166	90101701-successDesc[0]	2025-06-12	오기	이해할 수 없는 문자들이 나열된 판이다.\n\n완벽히 이해할 수는 없지만,\n몇 가지 단어가 눈에 들어왔다.\n\n심판, 단죄, 처단…\n\n그리고 이해를 시도하면 치명적일\n것만 같은 단어들의 연결도 보인다.\n\n석판에서 눈을 돌리자, 보좌는 짧게\n고개를 끄덕이더니 하늘로 솟구쳐 사라졌다.	理解できない文字が羅列された板だ。\n\n完全に理解することはできないが、\nいくつかの単語が目に入った。\n\n審判、断罪、処断…。\n\nそして理解を試みれば致命的なことに\nなりそうな単語の連なりも見える。\n\n石板から目を話すと、補佐は短く\n頷くと、天へと舞い上がって消えた。	理解できない文字が羅列された板だ。\n\n完全に理解することはできないが、\nいくつかの単語が目に入った。\n\n審判、断罪、処断…。\n\nそして理解を試みれば致命的なことに\nなりそうな単語の連なりも見える。\n\n石板から目を離すと、補佐は短く頷き、\n天へと舞い上がって消えた。	誤記: "石板から目を「話すと、補佐は短く頷くと、」天へと舞い上がって消えた。" 訂正後: "石板から目を「離すと、補佐は短く頷き、」天へと舞い上がって消えた。"	오기: "石板から目を「話すと、補佐は短く頷くと、」天へと舞い上がって消えた。" 정확: "石板から目を「離すと、補佐は短く頷き、」天へと舞い上がって消えた。"
